"Category","Tag","Rank","Page","Wall_ID","Fans","PTA"
"brands","website","1","Unnützes Wissen","97848298204","815964","24747"
"brands","website","2","whatsfordinner?","109501042416554","315952","16858"
"brands","website","3","fugas","204028627295","104026","4017"
"brands","website","4","kupikupon.ba","224109774281177","73614","1938"
"brands","website","5","Escuela Huggies","478907345466344","19959","1314"
"brands","website","6","Identity Web Design","182140141821350","529","304"
"brands","travel","1","Hotel Urbano","174625949232956","6244927","223975"
"brands","travel","2","Despegar.com","95188452883","4875658","274099"
"brands","travel","3","Australia","11071120908","4175425","207120"
"brands","travel","4","Carnival Cruise Lines","6067784583","2201568","25145"
"brands","travel","5","ViajaNet","154646774555315","1683843","43363"
"brands","travel","6","Tourism Malaysia ~ Cuti-Cuti…","130280927049210","1418785","23178"
"brands","travel","7","Royal Caribbean International","103249601396","1345059","44705"
"brands","travel","8","Love UK","211043534931","1097596","138074"
"brands","travel","9","CVC Viagens","185148231535716","1010456","25397"
"brands","travel","10","Hilton Hotels &amp; Resorts","125762892900","1009497","14801"
"brands","travel","11","Marriott Hotels &amp; Resorts","341984025882724","981829","90963"
"brands","travel","12","Club Mahindra","113975298302","919372","7261"
"brands","travel","13","Disney Cruise Line","300173409654","918677","34167"
"brands","travel","14","Booking.com","131840030178250","897085","48817"
"brands","travel","15","Cebu Pacific Air Fare Promos","73593874978","840048","13480"
"brands","travel","16","Ecuador &amp; Galápagos","121009517957704","816795","18086"
"brands","travel","17","Love Croatia","99382526928","812154","25500"
"brands","travel","18","Kerala Tourism","261195883143","790634","28818"
"brands","travel","19","MakeMyTrip.com","120740541030","777962","75403"
"brands","travel","20","Hotels.com USA","112577918783959","767013","41506"
"brands","travel","21","Kocham wakacje!","466488680194","758861","22569"
"brands","travel","22","Best Western","66499758370","654372","31630"
"brands","travel","23","Marriott Rewards","314467271901260","650158","42752"
"brands","travel","24","TAM Viagens","170313439756991","643398","23708"
"brands","travel","25","近畿日本ツーリスト(海外旅行)","327384903939653","591137","10286"
"brands","travel","26","Visit Queensland, Australia","26225930097","590122","51957"
"brands","travel","27","Shangri-La Hotels and Resorts","101622093221084","587621","60179"
"brands","travel","28","El Viajero Fisgón","132376253467994","587536","32538"
"brands","travel","29","G Adventures","8225136001","548310","24646"
"brands","travel","30","Volagratis","6496966725","529174","8003"
"brands","travel","31","Orbitz","123032162727","490646","5431"
"brands","travel","32","Visit Norway","271188948836","482832","40251"
"brands","travel","33","Switzerland | Schweiz | Suisse |…","118814305853","465241","37860"
"brands","travel","34","AIDA","101777342866","457051","14967"
"brands","travel","35","Wego Indonesia","164522233617991","437497","90717"
"brands","travel","36","Norwegian Cruise Line","43678986413","432916","32414"
"brands","travel","37","MGM Grand Las Vegas","9176179639","430083","35408"
"brands","travel","38","Courtyard by Marriott","145552542133736","403685","2502"
"brands","travel","39","Priceline.com","188195410030","400000","1335"
"brands","travel","40","Monterrey","30577197161","397929","8271"
"brands","travel","41","HolidayIQ","114916098537132","397923","5988"
"brands","travel","42","Costa Crociere","94355986224","381631","33683"
"brands","travel","43","Sydney Australia","10196659501","379494","19812"
"brands","travel","44","Hotels.com UK","124099877646114","378282","4944"
"brands","travel","45","HelloTravel","135248308246","369827","17925"
"brands","travel","46","Renaissance Hotels","13236030333","356338","12386"
"brands","travel","47","VakantieVeilingen","299684020361","354817","29036"
"brands","travel","48","jachcenawakacje.pl","260502907318","353447","3368"
"brands","travel","49","Melbourne, Victoria, Australia","178987832119710","349013","7494"
"brands","travel","50","Resorts World at Sentosa","86862329689","347468","16795"
"brands","travel","51","HOTEL ALADDIN","47408168448","347446","4795"
"brands","travel","52","我的新北市","218558484828205","344661","34424"
"brands","travel","53","Club Med Official","27762692039","340820","10941"
"brands","travel","54","Visit San Diego","48736638697","317016","14188"
"brands","travel","55","XCARET","374337345289","316260","45930"
"brands","travel","56","Thomson Holidays","297687700536","316165","9365"
"brands","travel","57","LAN en Argentina","155545864531227","314865","26033"
"brands","travel","58","Anı Turizm","168557439884453","305863","3224"
"brands","travel","59","Viking River Cruises","122446663491","296105","8896"
"brands","travel","60","Urlaub in Österreich / Holidays in…","25747171884","281268","2404"
"brands","travel","61","Strasbourg","24995489421","271237","3295"
"brands","travel","62","Viagem Listo","204314872929394","268751","6198"
"brands","travel","63","Riu Hotels &amp; Resorts","169805070156","268614","4173"
"brands","travel","64","MSC Crociere","40909081326","267648","11974"
"brands","travel","65","Parc Astérix","222446180257","266415","1751"
"brands","travel","66","BestDay.Com.Mx","66278797016","265133","17732"
"brands","travel","67","Travelocity","83669531845","262398","2983"
"brands","travel","68","Atrapalo","9904096812","259824","3243"
"brands","travel","69","Hyatt","126851494019482","259794","27554"
"brands","travel","70","Hotel Tonight","151682344867318","253580","4585"
"brands","travel","71","Edsa Shangri-La, Manila","107135102648932","253287","1567"
"brands","travel","72","我想去旅行 I want to TRAVEL by tungnam…","110278215368","248857","62106"
"brands","travel","73","楽天トラベル(Rakuten Travel, Inc.)","121589187869428","248008","1753"
"brands","travel","74","HomeAway® Vacation Rentals","6237476908","247991","7814"
"brands","travel","75","Visit South Africa","350583836977","243480","27273"
"brands","travel","76","AEGEAN AIRLINES","42477353781","234807","2995"
"brands","travel","77","Heide-Park Resort","120907856628","231584","1448"
"brands","travel","78","Mandalay Bay Resort &amp; Casino","141444980659","227861","11591"
"brands","travel","79","MELIÁ Hotels &amp; Resorts","248764598615","226887","5829"
"brands","travel","80","Viajes Falabella Perú","130590846973853","225601","10003"
"brands","travel","81","PriceTravel","98663120339","223015","9496"
"brands","travel","82","AceTravels.com","144058692295305","220889","1477"
"brands","travel","83","This is Puerto Rico","83842626144","214343","18014"
"brands","travel","84","Etstur","110550738962380","212834","12155"
"brands","travel","85","H.I.S. Japan","102727479792679","212129","9443"
"brands","travel","86","ADAC","136705726372564","211958","2474"
"brands","travel","87","Ekdromi.gr","115425595200661","210815","853"
"brands","travel","88","Marmara Matt l'Animateur","172321993017","208138","3612"
"brands","travel","89","Sterling Holidays","203442553005213","206064","2654"
"brands","travel","90","Thomas Cook UK","188819677670","205158","12866"
"brands","travel","91","El Salvador Impressive!","92202882411","204718","4157"
"brands","travel","92","P&amp;O Cruises","179746530781","204576","4012"
"brands","travel","93","Amsterdam Airport Schiphol","171419976226312","197954","16326"
"brands","travel","94","POUSADAS DE PORTUGAL","29906138396","192271","9639"
"brands","travel","95","Tatil Sepeti","116055661785090","189696","3374"
"brands","travel","96","Arke","196471775718","188872","8097"
"brands","travel","97","Accorhotels","133548153355256","187813","2988"
"brands","travel","98","Expedia.com.au","116721438394609","187228","6490"
"brands","travel","99","Du lịch giá rẻ - Alêhấp","139657963661","187147","9553"
"brands","travel","100","Discover Ireland GB","298041277182","186347","20948"
"brands","travel","101","30A","55713447392","185929","18939"
"brands","travel","102","Makati Shangri-La, Manila","33959144264","182912","3021"
"brands","travel","103","Viajes Falabella Argentina","374237283272","182003","9346"
